"Campus","Year","TotalEnrollment_AY","FTE_AY",
"2033","2008","2112","123",
"2034","2011","994","245",
"2035","2018","0","785",
"2036","2015","0","290",
"2037","2000","504747239","53",
"2038","2020","1212","13",
"2039","1989","175156","417",
"2040","2019","1","178",
"2041","2006","27527674","235",
"2042","2018","225633","56",
"2043","1984","1","241",
"2044","1971","30381","159",
"2045","1974","1","246",
"2046","1981","49842","403",
"2047","1975","3385","204",
"2048","1996","553599","970",
"2049","2025","380","944",
"2050","2014","30485718","666",
"2051","1971","0","609",
"2052","1992","6","755",
"2053","2000","661306993","930",
"2054","2002","0","311",
"2055","1997","10447473","846",
"2056","1973","0","897",
"2057","1986","504648","304",
"2058","1987","2","198",
"2059","2015","3","146",
"2060","2023","2","581",
"2061","2012","72072375","364",
"2062","2020","7","578",
"2063","2022","806596058","894",
"2064","1995","178","917",
"2065","2005","39203","437",
"2066","1973","363","213",
"2067","2009","8","911",
"2068","1999","620843","40",
"2069","2014","221983736","4",
"2070","1974","22422334","3",
"2071","1991","32","9",
"2072","1994","0","129",
"2073","1994","5246824","561",
"2074","1983","220","863",
"2075","2016","0","762",
"2076","1981","1","190",
"2077","2025","4251184","900",
"2078","1983","25","948",
"2079","1990","4555102","333",
"2080","2012","263680","924",
"2081","2009","451926","956",
"2082","2007","0","633",
"2083","1988","0","155",
"2084","2008","30511","760",
"2085","1973","0","492",
"2086","2006","1996433","556",
"2087","2008","0","609",
"2088","2003","638643","36",
"2089","1996","283737596","138",
"2090","1987","4092","921",
"2091","1984","240730420","440",
"2092","1976","13","911",
"2093","2014","38","513",
"2094","1974","1","220",
"2095","2019","2334185","810",
"2096","2003","11466","436",
"2097","1995","100605683","903",
"2098","1988","518439","497",
"2099","1974","1702","369",
"2100","2005","632336893","10",
"2101","1984","29553868","628",
"2102","2006","4","640",
"2103","1976","4092078","668",
"2104","2020","246","474",
"2105","1977","2","570",
"2106","1995","60483905","362",
"2107","1986","330095224","695",
"2108","2017","9695766","201",
"2109","2010","370600","892",
"2110","1972","375784","820",
"2111","2025","51","184",
"2112","1980","31","376",
"2113","1986","0","607",
"2114","1972","184503","519",
"2115","1995","1256162","964",
"2116","1978","72278922","968",
"2117","2003","0","961",
"2118","1999","573719","675",
"2119","2023","9","128",
"2120","1997","153773411","952",
"2121","1977","9805","565",
"2122","1970","8362","275",
"2123","1970","28627","995",
"2124","2001","2","258",
"2125","2020","1","588",
"2126","1971","27664373","73",
"2127","2017","16","113",
"2128","2020","2","710",
"2129","2013","408","601",
"2130","1995","0","288",
"2131","2001","0","150",
"2132","1971","34653107","294",
"2133","2004","78021","592",
"2134","2005","8007854","859",
"2135","2009","23","872",
"2136","2016","16798","489",
"2137","1983","26584","740",
"2138","2020","13995092","148",
"2139","1990","6","874",
"2140","2021","1416891","891",
"2141","1996","0","394",
"2142","1990","2","575",
"2143","1992","1549","670",
"2144","2025","2518","543",
"2145","1998","111232","815",
"2146","2006","41","537",
"2147","1976","0","595",
"2148","2008","0","639",
"2149","1980","14","398",
"2150","1980","920877","896",
"2151","1972","44070","394",
"2152","1975","17","65",
"2153","1983","0","107",
"2154","1977","65","543",
"2155","2022","229","937",
"2156","1973","6678","19",
"2157","1983","359","837",
"2158","2009","248176324","373",
"2159","2011","6","846",
"2160","2022","1590","487",
"2161","2003","0","956",
"2162","2013","15","508",
"2163","2020","0","285",
"2164","2009","0","580",
"2165","2004","0","169",
"2166","2006","314","978",
"2167","2013","1","128",
"2168","2021","6560159","711",
"2169","1990","250213","524",
"2170","1983","7782","52",
"2171","1977","700802","823",
"2172","2003","63515","503",
"2173","2021","300949415","772",
"2174","2000","4","636",
"2175","2024","7015559","633",
"2176","2022","3096","406",
"2177","1990","4818485","566",
"2178","2008","30660","989",
"2179","1975","0","644",
"2180","1990","4380067","311",
"2181","2001","3825987","731",
"2182","1992","2316","597",
"2183","1974","9095530","369",
"2184","1975","1","984",
"2185","2001","0","304",
"2186","2015","585942","595",
"2187","2024","81","516",
"2188","2011","137752","416",
"2189","1971","6175","214",
"2190","1973","28","724",
"2191","1995","111","648",
"2192","2009","206","392",
"2193","2005","13465458","120",
"2194","1991","28739","710",
"2195","2019","1421215","620",
"2196","2013","4","687",
"2197","1984","849246","875",
"2198","2019","542027732","523",
"2199","1971","3159585","540",
"2200","1972","22","839",
"2201","1984","1","721",
"2202","1999","3169","227",
"2203","1973","2415","137",
"2204","1981","52055","430",
"2205","1996","1","415",
"2206","1979","322","87",
"2207","1995","7641","979",
"2208","1985","2048","428",
"2209","2015","291","402",
"2210","2002","16925","428",
"2211","2009","49885510","608",
"2212","2016","44795","347",
"2213","1980","10055995","780",
"2214","1979","0","916",
"2215","1991","5587142","118",
"2216","1977","0","452",
"2217","1990","1","734",
"2218","2012","31","728",
"2219","2013","797182573","813",
"2220","2009","41","401",
"2221","2002","413189119","697",
"2222","1970","0","825",
"2223","2018","499711","118",
"2224","2025","2","383",
"2225","2012","283","831",
"2226","1998","43741694","87",
"2227","2011","10","862",
"2228","1985","0","811",
"2229","2003","28291","981",
"2230","2011","0","373",
"2231","2005","140777878","870",
"2232","1992","17065","177",
"2233","1991","8349","122",
"2234","1983","538446","560",
"2235","2025","986833","55",
"2236","1985","70420826","827",
"2237","2013","3606537","578",
"2238","2005","206","767",
"2239","2018","8050","601",
"2240","2011","2082","984",
"2241","1979","0","543",
"2242","1973","2083","428",
"2243","1982","145219639","549",
"2244","1984","6457856","238",
"2245","2010","2994892","122",
"2246","2003","979","933",
"2247","1978","0","107",
"2248","1973","467","513",
"2249","2010","3747","941",
"2250","1973","254053401","851",
"2251","1994","46","835",
"2252","1983","247279490","885",
"2253","2008","86310","57",
"2254","2025","341","21",
"2255","1973","25418405","728",
"2256","2004","47689","748",
"2257","1993","175","304",
"2258","1986","12806573","200",
"2259","2000","0","292",
"2260","2002","167559","223",
"2261","2003","2931","270",
"2262","2013","0","349",
"2263","2009","296597","562",
"2264","1976","12543","928",
"2265","1973","1","869",
"2266","1970","882802","224",
"2267","2013","260215053","211",
"2268","2006","160","56",
"2269","2005","0","522",
"2270","1980","0","784",
"2271","1987","283499","702",
"2272","2012","0","264",
"2273","2010","831887755","595",
"2274","1997","40","968",
"2275","2015","1613","288",
"2276","1980","186070","367",
"2277","2010","4","767",
"2278","2019","74","842",
"2279","1996","12","290",
"2280","1996","5137","261",
"2281","2002","60354","27",
"2282","1998","83487349","95",
"2283","2025","201280","753",
"2284","1974","6575236","366",
"2285","2017","0","351",
"2286","1992","5017","406",
"2287","1975","432995613","306",
"2288","2007","5","601",
"2289","1997","309","977",
"2290","1980","806","864",
"2291","2020","55958","474",
"2292","2010","34052","121",
"2293","2017","36","22",
"2294","1992","72","685",
"2295","2003","0","916",
"2296","2014","5513","539",
"2297","2022","62236","161",
"2298","1974","6","957",
"2299","1984","5049","217",
"2300","2001","3112","328",
"2301","2022","0","354",
"2302","2006","7869","83",
"2303","1997","4","680",
"2304","1996","198","63",
"2305","2005","136098","873",
"2306","2012","4028291","0",
"2307","1984","0","327",
"2308","2007","701","638",
"2309","1992","443679132","127",
"2310","1975","3538","938",
"2311","2013","118","411",
"2312","1973","6578","155",
"2313","2020","823291694","945",
"2314","2018","2887358","288",
"2315","1989","2337997","480",
"2316","2009","4","621",
"2317","2025","0","699",
"2318","1982","28391","65",
"2319","2003","0","675",
"2320","1992","14044649","513",
"2321","1974","472891985","561",
"2322","2004","90","490",
"2323","1985","0","938",
"2324","1988","8137185","829",
"2325","1972","607857","794",
"2326","2006","13147129","699",
"2327","1972","0","438",
"2328","1984","0","836",
"2329","2025","2818","711",
"2330","2006","0","650",
"2331","1996","3","861",
"2332","1971","10","954",
"2333","2001","500517104","339",
"2334","1979","71195","172",
"2335","2000","0","244",
"2336","1984","0","541",
"2337","1972","58399","770",
"2338","2023","751","740",
"2339","2017","1","815",
"2340","2007","71","626",
"2341","2004","2","33",
"2342","2016","239","820",
"2343","2007","66","163",
"2344","2024","12","263",
"2345","2020","676288","138",
"2346","2012","68319","225",
"2347","2015","3313532","992",
"2348","1990","531","316",
"2349","1970","0","359",
"2350","2005","0","584",
"2351","2001","107311","550",
"2352","1984","6781","363",
"2353","1995","0","405",
"2354","1989","0","879",
"2355","2005","35629","366",
"2356","1986","2139989","118",
"2357","2004","0","373",
"2358","2019","36","280",
"2359","1999","180278","884",
"2360","1993","11","735",
"2361","1977","105371361","505",
"2362","1991","6769","500",
"2363","2018","0","373",
"2364","2018","77","249",
"2365","1988","86143686","918",
"2366","1982","4713715","758",
"2367","1979","320353","32",
"2368","2007","2232","332",
"2369","2025","867395","100",
"2370","1983","1394","29",
"2371","1989","0","925",
"2372","1997","1786","728",
"2373","2006","12784789","499",
"2374","1996","2","900",
"2375","1976","288852","909",
"2376","2018","0","825",
"2377","2022","4","284",
"2378","2023","0","921",
"2379","2022","0","275",
"2380","1986","0","95",
"2381","2022","525020560","60",
"2382","2024","2347","942",
"2383","2003","0","810",
"2384","2000","239","770",
"2385","2000","2645","593",
"2386","2013","4","437",
"2387","1974","3858","904",
"2388","2004","22","972",
"2389","1990","270","483",
"2390","1972","1","104",
"2391","2012","2","1",
"2392","1988","3284490","386",
"2393","1975","8785508","647",
"2394","1983","20","261",
"2395","2020","98703","262",
"2396","1976","88199","501",
"2397","1979","700087205","841",
"2398","1986","42419791","182",
"2399","1987","1422133","388",
"2400","1976","1758438","271",
"2401","2013","3726","998",
"2402","1995","5661435","358",
"2403","1993","2171561","279",
"2404","1987","0","615",
"2405","1974","85","248",
"2406","1986","2917","991",
"2407","2011","207","422",
"2408","2013","5239","214",
"2409","1972","116370","364",
"2410","1999","0","777",
"2411","2002","3806","228",
"2412","2012","319214402","694",
"2413","2004","771679224","537",
"2414","1982","2","364",
"2415","2016","65065","793",
"2416","2024","10972","739",
"2417","1993","0","673",
"2418","1990","197","281",
"2419","1987","2","56",
"2420","2021","250934","502",
"2421","1995","226727","270",
"2422","2014","73935","399",
"2423","2024","2","473",
"2424","2025","12","668",
"2425","1987","104","399",
"2426","1996","0","278",
"2427","2013","304","1",
"2428","2011","17734","487",
"2429","1999","990647","717",
"2430","1970","96","141",
"2431","1994","1067","896",
"2432","1995","1","397",
"2433","1977","60617","356",
"2434","1984","1","722",
"2435","1980","169141","818",
"2436","2012","145","37",
"2437","1994","34116","29",
"2438","2009","1269","444",
"2439","2016","844448","782",
"2440","1983","106","838",
"2441","1970","3148430","397",
"2442","2016","0","168",
"2443","1981","1","596",
"2444","2014","3","148",
"2445","1993","3068901","733",
"2446","2025","96890050","429",
"2447","1986","0","856",
"2448","1991","1486","230",
"2449","1973","437","594",
"2450","1996","536841","979",
"2451","1997","15807842","600",
"2452","2007","1956104","949",
"2453","2009","41006","916",
"2454","1990","480981","175",
"2455","1983","83","56",
"2456","1984","604","523",
"2457","2018","3","816",
"2458","2017","14","523",
"2459","1999","5","949",
"2460","2013","4771","657",
"2461","2021","17","812",
"2462","2007","148","200",
"2463","2003","812","415",
"2464","2007","40885","284",
"2465","2005","7504757","8",
"2466","2024","2302721","385",
"2467","1977","722424","613",
"2468","1990","108","620",
"2469","2022","5256","876",
"2470","1974","174112","660",
"2471","2024","131014845","171",
"2472","1973","0","911",
"2473","1985","2","264",
"2474","1987","525509","542",
"2475","1992","423","34",
"2476","2009","60","800",
"2477","1993","68520","988",
"2478","2008","0","653",
"2479","1989","0","674",
"2480","2020","0","44",
"2481","1971","1533622","658",
"2482","1994","64003506","222",
"2483","2014","133569","752",
"2484","2022","525","882",
"2485","2001","13876","340",
"2486","1981","194","865",
"2487","1990","12198","324",
"2488","1990","500","806",
"2489","1987","0","13",
"2490","2002","70615","586",
"2491","2010","10798506","576",
"2492","2001","19","680",
"2493","2021","21781","699",
"2494","1994","33","982",
"2495","2006","756","243",
"2496","2005","218265","971",
"2497","1973","58","653",
"2498","1990","6","692",
"2499","1999","106","171",
"2500","1981","0","194",
"2501","2009","2663464","837",
"2502","1995","8","926",
"2503","1989","3","240",
"2504","2009","481","628",
"2505","1997","32657","908",
"2506","2000","481240950","22",
"2507","2015","299053941","751",
"2508","2015","34567","857",
"2509","2009","0","865",
"2510","2005","178","29",
"2511","1973","34","66",
"2512","2008","146977","194",
"2513","2014","17897","373",
"2514","2006","20610","278",
"2515","1976","6475099","123",
"2516","1980","15665","501",
"2517","1998","1","831",
"2518","2000","611","903",
"2519","2014","0","633",
"2520","2024","7","412",
"2521","1970","56479","470",
"2522","2005","4","40",
"2523","2011","27663402","1",
"2524","1982","111956381","72",
"2525","1971","27551","100",
"2526","2016","2885","381",
"2527","1987","455267","829",
"2528","1977","473","799",
"2529","1976","251","376",
"2530","1980","406","611",
"2531","2015","622432","573",
"2532","1976","5957","48",
"2533","2009","2","995",
"2534","1994","42134376","319",
"2535","1979","4912649","813",
"2536","2021","0","720",
"2537","1973","33","746",
"2538","1978","562140469","870",
"2539","2005","6004871","187",
"2540","1976","128","97",
"2541","2001","2267","859",
"2542","2020","0","137",
"2543","1994","2","711",
"2544","1983","22013537","896",
"2545","1984","0","852",
"2546","2010","24","85",
"2547","1970","4251354","801",
"2548","2004","17","953",
"2549","2012","284034464","656",
"2550","2022","0","203",
"2551","1979","91","868",
"2552","1981","0","930",
"2553","1970","30259","531",
"2554","1973","58","121",
"2555","2010","16","77",
"2556","1994","601334141","748",
"2557","2018","52249895","663",
"2558","1975","42980","506",
"2559","1985","7411305","732",
"2560","2013","8003","179",
"2561","2013","183816","287",
"2562","1972","527229679","256",
"2563","1996","161991","921",
"2564","1997","1","206",
"2565","1978","0","698",
"2566","2015","1532290","912",
"2567","1986","1077","633",
"2568","1977","67792","169",
"2569","2004","743579","161",
"2570","2015","46348191","319",
"2571","2025","2","616",
"2572","1998","5210","718",
"2573","2024","2725","840",
"2574","2023","0","786",
"2575","1987","529","431",
"2576","1993","6","561",
"2577","1991","93167287","548",
"2578","2001","506","121",
"2579","2016","0","963",
"2580","2008","82879333","693",
"2581","1988","0","443",
"2582","2003","44","350",
"2583","1998","2","124",
"2584","1980","3039","237",
"2585","1986","92024","242",
"2586","1972","372978291","378",
"2587","2021","23343652","819",
"2588","1975","2","451",
"2589","1985","549005085","729",
"2590","1988","666","93",
"2591","2023","1","246",
"2592","2016","197305898","922",
"2593","1981","15960","252",
"2594","2004","335848","880",
"2595","2001","18279","42",
"2596","1989","21162837","130",
"2597","2014","9478","80",
"2598","2004","4743858","92",
"2599","1982","205416366","893",
"2600","1975","28","513",
"2601","2013","1490170","848",
"2602","1983","42585","659",
"2603","1986","5664507","380",
"2604","2025","1726","565",
"2605","1989","0","70",
"2606","2009","40","516",
"2607","1985","528500876","266",
"2608","2018","354774","61",
"2609","2014","44851","789",
"2610","2012","1","437",
"2611","2015","0","773",
"2612","2002","294","95",
"2613","2000","10","38",
"2614","1971","1374005","898",
"2615","1973","3","344",
"2616","2001","276","50",
"2617","1989","223672154","998",
"2618","1979","2844","345",
"2619","1990","16","628",
"2620","1993","2470","992",
"2621","1977","1412","222",
"2622","2025","69523390","975",
"2623","1973","0","542",
"2624","2010","0","636",
"2625","2021","3628063","856",
"2626","2009","949211","130",
"2627","1971","64","749",
"2628","1988","79384616","654",
"2629","1974","2","712",
"2630","2014","0","384",
"2631","2000","2119","996",
"2632","2007","122","731",
"2633","1999","0","98",
"2634","1973","470276","769",
"2635","1992","0","581",
"2636","2012","5","985",
"2637","1976","37262","684",
"2638","2004","3890486","715",
"2639","1996","416573","628",
"2640","2013","54","430",
"2641","1988","0","391",
"2642","1984","3677864","316",
"2643","2020","644","381",
"2644","2015","3015218","383",
"2645","1980","2279039","17",
"2646","1999","55780","623",
"2647","2020","225283200","880",
"2648","2010","387082842","20",
"2649","1977","4614593","961",
"2650","1979","359978","212",
"2651","2024","224","701",
"2652","1987","3209","641",
"2653","2009","1973741","700",
"2654","2004","2","831",
"2655","1981","2","631",
"2656","1987","1898","538",
"2657","2018","239743","127",
"2658","1987","80004231","780",
"2659","2003","56","258",
"2660","1994","610","595",
"2661","1980","55491","703",
"2662","1974","27889","983",
"2663","2018","503","180",
"2664","1991","35482395","432",
"2665","1981","5349760","545",
"2666","1976","0","619",
"2667","1987","3262","342",
"2668","2002","4131","410",
"2669","1999","0","50",
"2670","1972","58","426",
"2671","2016","5238","86",
"2672","1996","161","655",
"2673","1995","72325","297",
"2674","2013","2149","526",
"2675","2018","197","514",
"2676","2023","0","114",
"2677","2013","42","893",
"2678","1981","0","838",
"2679","1992","0","642",
"2680","2007","54161929","226",
"2681","2015","12651149","168",
"2682","1979","293811","83",
"2683","2019","39","763",
"2684","2011","10675","903",
"2685","2018","7521","18",
"2686","2001","14838182","681",
"2687","1979","160061727","200",
"2688","1993","55","217",
"2689","2019","817","789",
"2690","2000","458","16",
"2691","1993","70","785",
"2692","1997","81496424","908",
"2693","1979","66","870",
"2694","2004","797","598",
"2695","1993","8193","664",
"2696","2015","2","623",
"2697","2025","1","887",
"2698","2019","0","840",
"2699","1986","12","781",
"2700","2007","198","257",
"2701","2020","45","390",
"2702","1993","2539889","844",
"2703","1995","329757","792",
"2704","1995","14","244",
"2705","1981","1455","701",
"2706","2015","39528692","848",
"2707","1998","910273204","192",
"2708","1977","261151","294",
"2709","2009","9","39",
"2710","1981","3069239","552",
"2711","2005","628934","324",
"2712","1989","3212","682",
"2713","1989","81976826","829",
"2714","2008","630925","949",
"2715","1995","436106398","635",
"2716","1974","2","582",
"2717","1998","1","455",
"2718","1977","82","602",
"2719","1970","79820","542",
"2720","2007","1155562","385",
"2721","2004","544","940",
"2722","2003","71511","635",
"2723","2000","11364","279",
"2724","1991","44224","620",
"2725","1996","43866077","994",
"2726","1995","3","721",
"2727","1988","972","540",
"2728","2025","7265","416",
"2729","1998","26","902",
"2730","1990","32","495",
"2731","1997","0","952",
"2732","2005","1406824","862",
"2733","2001","438","553",
"2734","1984","9","895",
"2735","1986","629991943","56",
"2736","1977","45","203",
"2737","2020","14499002","364",
"2738","1990","15186","424",
"2739","1980","3659","302",
"2740","2023","521301","456",
"2741","1983","4478802","88",
"2742","1998","2638","963",
"2743","2008","0","522",
"2744","1979","27286","325",
"2745","2015","546","377",
"2746","1997","19","826",
"2747","1986","4965949","833",
"2748","2009","0","443",
"2749","1976","507664","870",
"2750","1984","0","784",
"2751","1996","8347491","998",
"2752","2015","0","384",
"2753","2007","8158","915",
"2754","1977","2","489",
"2755","1972","0","999",
"2756","2024","37041","877",
"2757","1999","8646533","884",
"2758","1999","0","20",
"2759","2001","0","564",
"2760","2004","34024","726",
"2761","1973","1434","854",
"2762","1990","25763","402",
"2763","2022","2965","768",
"2764","2015","0","497",
"2765","1987","305158","516",
"2766","2011","209016246","256",
"2767","2009","2","696",
"2768","1986","7218","225",
"2769","1974","215658","793",
"2770","1982","30609852","8",
"2771","2020","41254","120",
"2772","1972","44","524",
"2773","2004","0","561",
"2774","2023","123","152",
"2775","2009","521280","427",
"2776","2007","6727","851",
"2777","1971","10461","716",
"2778","1977","7","385",
"2779","2025","4850","59",
"2780","2007","3","58",
"2781","1986","555894329","949",
"2782","1979","5","758",
"2783","2015","0","678",
"2784","2001","21657811","285",
"2785","1988","530154","323",
"2786","1976","1696","343",
"2787","2018","761","511",
"2788","1997","0","40",
"2789","1992","3931135","74",
"2790","1971","158","262",
"2791","1984","0","37",
"2792","1975","1","857",
"2793","2022","3","623",
"2794","2015","1924889","274",
"2795","1976","32","359",
"2796","1990","0","927",
"2797","1996","2","168",
"2798","1994","27","33",
"2799","1999","8","25",
"2800","2000","1823239","856",
"2801","1998","1166719","212",
"2802","1996","0","765",
"2803","1989","61662","419",
"2804","2001","0","104",
"2805","2000","471426","732",
"2806","1995","2349618","605",
"2807","2022","430818","858",
"2808","1991","0","92",
"2809","2002","0","695",
"2810","1975","813","206",
"2811","1989","65210","59",
"2812","1979","2998333","741",
"2813","1981","4079","777",
"2814","1972","0","232",
"2815","1976","178524","117",
"2816","2003","53363","576",
"2817","1975","85869","901",
"2818","2015","10","531",
"2819","1970","1567","216",
"2820","1976","1973370","657",
"2821","2007","28","402",
"2822","2004","90","501",
"2823","1983","56986382","50",
"2824","1993","87","444",
"2825","2019","0","841",
"2826","1978","1171","447",
"2827","1972","121925635","628",
"2828","1985","3","721",
"2829","2015","2","720",
"2830","2017","70186","38",
"2831","2009","2990090","515",
"2832","1997","43997","491",
"2833","1981","179","217",
"2834","1983","235593","447",
"2835","2000","65237","101",
"2836","1987","17","203",
"2837","1988","8316","597",
"2838","2010","9512","31",
"2839","1993","255","342",
"2840","2022","82","547",
"2841","2020","80041502","1",
"2842","1988","223094","525",
"2843","2001","0","930",
"2844","2007","907469","989",
"2845","1985","885","417",
"2846","1991","1543959","330",
"2847","2016","1","525",
"2848","1974","0","240",
"2849","1970","1642219","421",
"2850","2019","434","836",
"2851","1975","42965","591",
"2852","2022","53","563",
"2853","2010","351","621",
"2854","1977","25982","479",
"2855","2022","11","686",
"2856","2019","0","276",
"2857","2022","58004","7",
"2858","1995","61","253",
"2859","1993","4272","551",
"2860","1975","1","486",
"2861","1980","2552","912",
"2862","1991","1271","414",
"2863","1991","3","7",
"2864","2013","599","722",
"2865","2006","504","187",
"2866","1980","12796392","654",
"2867","1982","75968604","813",
"2868","1992","0","588",
"2869","1981","155367420","670",
"2870","1986","7243","477",
"2871","1980","5286","526",
"2872","1978","65006735","116",
"2873","2001","144","258",
"2874","2023","1531","729",
"2875","2009","818","945",
"2876","1986","86","130",
"2877","2002","4","792",
"2878","2024","64232308","529",
"2879","2019","14","853",
"2880","1971","14982339","491",
"2881","2018","5","356",
"2882","1995","0","884",
"2883","1970","65616","786",
"2884","1997","739386","875",
"2885","2006","6947","586",
"2886","1985","0","353",
"2887","1978","0","80",
"2888","1987","3","851",
"2889","1987","376538833","73",
"2890","1971","0","32",
"2891","2023","82393","34",
"2892","1987","25866242","560",
"2893","1992","1022","778",
"2894","2006","4600","316",
"2895","2000","4","32",
"2896","2014","27922","109",
"2897","1973","306697","619",
"2898","2000","27819","50",
"2899","2008","10242","748",
"2900","1989","900380751","756",
"2901","1980","27756218","23",
"2902","2013","10840163","93",
"2903","1989","619","311",
"2904","2016","5037","498",
"2905","1973","38164","851",
"2906","1982","0","791",
"2907","1973","1024","789",
"2908","2011","22125","914",
"2909","1970","2","47",
"2910","1982","531","367",
"2911","1982","185","915",
"2912","1978","0","566",
"2913","1997","719","668",
"2914","2007","5008","25",
"2915","2003","137834","363",
"2916","1997","11617206","634",
"2917","2023","277589147","265",
"2918","1981","114891636","965",
"2919","1981","6","335",
"2920","1981","94203434","594",
"2921","2002","4771488","11",
"2922","1994","0","439",
"2923","1993","4416951","406",
"2924","2023","310373","510",
"2925","2015","1381502","947",
"2926","2012","4008","313",
"2927","1987","52700","409",
"2928","2012","36473018","639",
"2929","2016","2","663",
"2930","2016","1050099","887",
"2931","2021","17","683",
"2932","2024","3599259","48",
"2933","1975","67972897","290",
"2934","1988","415413167","699",
"2935","1976","120555","471",
"2936","1988","2194382","4",
"2937","1982","6860722","258",
"2938","2000","20221","577",
"2939","1970","0","149",
"2940","2018","0","922",
"2941","1998","0","955",
"2942","1997","0","62",
"2943","2019","6551","326",
"2944","2004","483585562","732",
"2945","1977","11","920",
"2946","1980","181","21",
"2947","2006","0","594",
"2948","2000","296","825",
"2949","1985","11632285","665",
"2950","2001","315412473","567",
"2951","1970","2376","43",
"2952","1981","8234","877",
"2953","2020","79334","945",
"2954","1973","106","456",
"2955","1994","748803890","289",
"2956","2015","16","665",
"2957","2005","834","717",
"2958","1986","898478","715",
"2959","1981","1571","525",
"2960","2006","0","395",
"2961","1999","4","456",
"2962","1983","3097","32",
"2963","1992","290229","134",
"2964","1989","822493","943",
"2965","1981","61092","91",
"2966","1979","81154","203",
"2967","1976","20022","174",
"2968","2021","0","212",
"2969","1987","0","918",
"2970","2005","3","571",
"2971","1975","6","160",
"2972","2022","12387856","241",
"2973","1978","362","376",
"2974","2020","0","483",
"2975","1986","486967","373",
"2976","2008","2664633","234",
"2977","2014","92230","759",
"2978","1985","363567","289",
"2979","1974","3762079","385",
"2980","1973","108","538",
"2981","2012","3020","5",
"2982","1990","24422","827",
"2983","2005","14633593","603",
"2984","2006","14","186",
"2985","2004","3211","967",
"2986","2005","0","650",
"2987","1970","104622","663",
"2988","1998","35271609","363",
"2989","1983","1","738",
"2990","1980","86490771","33",
"2991","1976","0","343",
"2992","1995","12241788","173",
"2993","2012","26723","978",
"2994","1986","1511","26",
"2995","1974","250447","213",
"2996","2000","17616","495",
"2997","2023","4713","118",
"2998","2015","68","665",
"2999","1994","16308162","242",
"3000","1994","1967009","340",
"3001","1975","0","794",
"3002","1979","9336","719",
"3003","2010","19","201",
"3004","2001","0","475",
"3005","1990","1","221",
"3006","1977","373","595",
"3007","1974","892","716",
"3008","2007","98","257",
"3009","1986","45768","469",
"3010","2009","31334","367",
"3011","2019","49826","440",
"3012","2006","3015254","173",
"3013","2011","0","217",
"3014","2014","0","365",
"3015","1991","2","102",
"3016","1977","92","318",
"3017","1995","33027","713",
"3018","1979","1898929","315",
"3019","2016","160","879",
"3020","2020","9602","153",
"3021","2022","29093191","408",
"3022","1981","29","771",
"3023","2005","5603711","477",
"3024","1991","29548130","493",
"3025","2020","16046","39",
"3026","2003","52405524","297",
"3027","2012","226844764","487",
"3028","2010","3985660","507",
"3029","2019","4097783","76",
"3030","1971","349","850",
"3031","1999","166242301","36",
"3032","1990","4","248",
"3033","1981","99","918",
"3034","1976","0","264",
"3035","2003","2","581",
"3036","2025","62152","612",
"3037","2014","6751","669",
"3038","2016","105","855",
"3039","1976","3712157","388",
"3040","2019","51","337",
"3041","2007","12254","52",
"3042","1981","0","423",
"3043","1975","1613181","320",
"3044","2024","1370","652",
"3045","2015","6297539","501",
"3046","1980","15309062","579",
"3047","2019","33041","613",
"3048","1987","0","359",
"3049","1987","339045851","667",
"3050","1999","836","44",
"3051","1996","54647394","375",
"3052","2015","8766","104",
"3053","2003","39503954","681",
"3054","2011","131140695","571",
"3055","1992","1046887","580",
"3056","1971","34","844",
"3057","1999","242544024","762",
"3058","2008","3","93",
"3059","2013","7","476",
"3060","1993","0","450",
"3061","1974","72167","650",
"3062","1982","59","698",
"3063","1994","3199449","293",
"3064","1995","1","863",
"3065","1996","12271818","25",
"3066","2015","0","252",
"3067","2017","35363","723",
"3068","2005","606","767",
"3069","2007","423","447",
"3070","2010","0","118",
"3071","2004","400535887","768",
"3072","1988","68004","707",
"3073","2010","7","637",
"3074","2011","162675987","139",
"3075","1976","2","870",
"3076","2000","36967","933",
"3077","1977","375312269","302",
"3078","2005","221079","735",
"3079","1984","13996240","30",
"3080","2016","13","11",
"3081","1998","431370","162",
"3082","1984","18340922","765",
"3083","1981","279596941","486",
"3084","1980","2295838","530",
"3085","1980","27","257",
"3086","1983","0","417",
"3087","2024","7046390","596",
"3088","2002","100138","496",
"3089","1983","5668","125",
"3090","2002","52231315","307",
"3091","1988","471","0",
"3092","1981","52751","192",
"3093","2016","103","47",
"3094","2023","227756836","148",
"3095","2021","1083249","957",
"3096","1971","1721425","980",
"3097","1971","130799","896",
"3098","2022","6760123","289",
"3099","1993","229159","244",
"3100","1973","362081","128",
"3101","2003","15","654",
"3102","1997","250000","671",
"3103","1973","138490823","985",
"3104","1994","42","172",
"3105","2019","769","635",
"3106","1991","134","732",
"3107","1997","147","120",
"3108","2024","0","996",
"3109","1987","14186","597",
"3110","2004","1242","521",
"3111","2022","16","370",
"3112","2004","103235604","979",
"3113","1970","74","157",
"3114","1978","84","36",
"3115","1971","4298243","676",
"3116","1974","0","794",
"3117","1976","0","688",
"3118","1999","569","196",
"3119","1986","0","394",
"3120","1973","229397","185",
"3121","1974","105184883","829",
"3122","2022","774","924",
"3123","1983","60357","23",
"3124","2005","1","892",
